Daily LE,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,BQA,Cloud Cover,NDVI,EVI,SAVI,VARI,NDWI,Date Epoch
3130.2905861448,0.1067830994725227,0.0872861817479133,0.0709387734532356,0.054266408085823,0.1945442110300064,0.1532757431268692,0.0805122554302215,0.0644897893071174,0.0009498447179794,301.18121337890625,299.09979248046875,2720.0,1.99,0.5637934724919416,0.4051946944253101,0.2810012292089661,0.4396836799293905,-0.465587042489245,1537574400
1932.5778285629,0.1158422902226448,0.0916380435228347,0.062576837837696,0.0439272224903106,0.1135345697402954,0.0705465301871299,0.0324154421687126,0.0545534789562225,0.00134169368539,291.248779296875,289.6260986328125,2720.0,43.5,0.4420586496820977,0.2522690562756674,0.1588092602624651,1.2545132695462249,-0.2893494101455781,1538956800
1142.08434308044,0.1108488589525222,0.0906447172164917,0.0735340341925621,0.0577445179224014,0.1669177561998367,0.14735808968544,0.0846189260482788,0.0669282153248786,0.0007733576931059,293.2711181640625,291.9307556152344,2720.0,3.97,0.4859437958775153,0.327434784296106,0.2259809338281206,0.3885805095584146,-0.3883677549453034,1541721600
287.389614444992,0.1439190804958343,0.1256872117519378,0.0989025682210922,0.0976354926824569,0.1289605051279068,0.1866829991340637,0.1487762182950973,0.1002400442957878,0.018900591880083,285.9794921875,284.4375915527344,2976.0,0.48,0.1382416845317164,0.1014254192339694,0.0646680119485576,0.0178837029309822,-0.1319122772507212,1548633600
467.53615358686,0.2292070686817169,0.2136670649051666,0.1875330507755279,0.193946897983551,0.2319193929433822,0.226016104221344,0.1966911256313324,0.1903091967105865,0.0732964798808097,269.73602294921875,267.43365478515625,6896.0,91.55,0.0891652985193567,0.1196967613717538,0.0615194040412924,-0.0382202311331862,-0.1058197248162872,1550016000
511.8686479964,0.1182684153318405,0.1002435460686683,0.0797176212072372,0.0789989307522773,0.1126338467001915,0.1942488253116607,0.1487123221158981,0.0783664733171463,0.0048296232707798,296.30474853515625,294.7137756347656,2720.0,2.92,0.1755175518251655,0.1007273666651192,0.0729467653451956,0.012290978443993,-0.1711254187506151,1551398400
664.89369749514,0.1186072900891304,0.1020850017666816,0.083845168352127,0.0865787267684936,0.129855990409851,0.2197246700525283,0.168730542063713,0.0852240398526191,0.0015240130014717,306.5119323730469,304.9112548828125,2720.0,2.11,0.1999552761477561,0.1224332701879471,0.0906096451016574,-0.0400000392486457,-0.2153045043100172,1554163200
862.342749869,0.1182866021990776,0.1028092131018638,0.0872175097465515,0.0908525213599205,0.1456749588251114,0.2395452409982681,0.1761496514081955,0.08831487596035,0.0024919244460761,307.51470947265625,306.4024353027344,2720.0,0.04,0.2317804147843798,0.1490192083727741,0.1116504929009945,-0.0482988586856233,-0.251006180822769,1555545600
1909.0062833526,0.1224957779049873,0.1065860912203788,0.098763458430767,0.0892440900206565,0.1952792853116989,0.2028815746307373,0.1383173167705536,0.0929460674524307,0.0085057290270924,306.4230041503906,304.6665344238281,2720.0,0.03,0.372676568901171,0.2846282463853802,0.2027381183756091,0.116914738864203,-0.3282374040335583,1556928000
4451.1723739004,0.115151323378086,0.0976716578006744,0.0898862332105636,0.0737792029976844,0.2472032308578491,0.1782711446285247,0.0985510051250457,0.083752267062664,0.0015227642143145,307.81201171875,306.1681213378906,2720.0,2.87,0.5402913355009906,0.4528794470347975,0.3168594491950147,0.2440689198518549,-0.4666921230601196,1559692800
5667.5047358025,0.1115398406982421,0.0956025123596191,0.0881922990083694,0.0725127086043357,0.2560282945632934,0.1802937537431717,0.0978363156318664,0.0815338417887687,0.0021908418275415,310.235107421875,309.5852966308594,2720.0,0.01,0.5585774201381,0.4709944548540277,0.3322386917316433,0.240844691790679,-0.4875826684668778,1561075200
3630.2400343647,0.1169306114315986,0.0989104062318801,0.0830535143613815,0.0648325905203819,0.2352439612150192,0.1634753793478012,0.0830758213996887,0.0765635669231414,0.0018733832985162,300.8070373535156,297.4397277832031,2720.0,16.36,0.5678929916686764,0.4828001983294485,0.3194907480884315,0.3720401003619584,-0.4781390319795593,1565222400
2944.94011529589,0.1071154475212097,0.0876497998833656,0.0716096684336662,0.0527421198785305,0.2041174620389938,0.1407997161149978,0.0723708942532539,0.0648673698306083,0.0017671276582404,297.6941833496094,296.74859619140625,2720.0,0.05,0.5893311085784949,0.4384149791253255,0.3000067894568034,0.5140742876022052,-0.4805758264635714,1570752000
725.61162532647,0.1146700456738472,0.0939525067806243,0.0681317523121833,0.0623811110854148,0.0935716703534126,0.1503164023160934,0.1096049174666404,0.0642091333866119,0.0008378340280614,290.8890991210937,290.2549743652344,2720.0,0.07,0.200000019109837,0.1021683871189373,0.071325010314572,0.1572917159155565,-0.1573245489913915,1576281600
1135.76669472007,0.1158182695508003,0.095116302371025,0.0716895684599876,0.0672735646367073,0.1016933321952819,0.1737587302923202,0.1321355551481247,0.0692153498530387,0.0024742078967392,292.15045166015625,291.4713439941406,2720.0,7.89,0.2037071651543655,0.1086534073096916,0.0771781856207883,0.1007143218835885,-0.1730491508787803,1581811200
3469.6090705089,0.1138203144073486,0.0944855362176895,0.0738377422094345,0.0685341954231262,0.1215439289808273,0.1826119720935821,0.1332838237285614,0.0722157806158065,0.0019308982882648,290.2733764648437,289.08367919921875,2720.0,20.83,0.2788839258801026,0.1608095073126717,0.1152255049458804,0.110752669434485,-0.2441692021609168,1584576000
2050.58668455111,0.1150523573160171,0.0973795875906944,0.0792285278439521,0.0745891332626342,0.1434627175331115,0.1968397349119186,0.1463085263967514,0.0773871168494224,0.0033958454150706,303.513916015625,302.10711669921875,2720.0,0.06,0.3158587465281033,0.2000625557454032,0.1438759280283551,0.082203276836009,-0.2884450602465185,1585958400
1642.593395753529,0.1159597858786583,0.0991964340209961,0.0826372280716896,0.0805276334285736,0.1554977297782898,0.2098482102155685,0.1512785255908966,0.082251600921154,0.0012022389564663,306.62744140625,304.9909362792969,2720.0,0.09,0.3176357630853806,0.2094861719984768,0.152787050754076,0.0329786853647409,-0.3059630655004501,1587340800
3008.415830790574,0.1131396517157554,0.0963310822844505,0.0882998332381248,0.0738830864429473,0.2043798863887787,0.1819318979978561,0.1125032976269722,0.0837795138359069,0.0018651761347427,313.3687438964844,312.61431884765625,2720.0,0.0,0.4689693300471803,0.3526196081266969,0.2515154989405752,0.2189270241367184,-0.3966111943069649,1588723200
6376.6230194113,0.1109594479203224,0.0954113975167274,0.0865972638130188,0.0733867883682251,0.2437290698289871,0.1858688741922378,0.1010086983442306,0.0806568413972854,0.0010937205515801,309.159912109375,307.8682556152344,2720.0,0.0,0.5371610313944858,0.4397226572475754,0.3127015828023184,0.2045831244421957,-0.4756865863024451,1591488000
245.90636781362,0.1218413561582565,0.1017157733440399,0.1068831533193588,0.099842220544815,0.2081758677959442,0.2344358265399933,0.1661720275878906,0.0772387161850929,0.0175872147083282,295.65240478515625,292.5339660644531,2720.0,3.65,0.3517119654715863,0.2593300079175727,0.2011099419944713,0.0670503719628356,-0.3215039331932508,1603929600
265.80898407457,0.1167733818292617,0.0986034572124481,0.0798012390732765,0.0748427808284759,0.1521814465522766,0.1841618418693542,0.1084870919585228,0.0772720947861671,0.0013644016580656,295.35772705078125,294.4504089355469,2720.0,0.03,0.3406626095200513,0.2243749871062771,0.1595655195751076,0.0884798083183222,-0.3120069382929298,1605312000
49.30054274252001,0.1241800412535667,0.1056473329663276,0.0833065286278724,0.0804413929581642,0.143329307436943,0.1840577572584152,0.1155483722686767,0.0808040648698806,0.003046466037631,289.7875366210937,289.4832763671875,2720.0,2.03,0.2810373045610482,0.1885982618319963,0.1303339188318515,0.0493133673474752,-0.2648424002632341,1606694400
304.41773101892,0.1190341934561729,0.0991759896278381,0.0758291855454444,0.0762508884072303,0.1287332773208618,0.1710182130336761,0.1085300520062446,0.074755772948265,0.0030285597313195,283.5048828125,283.700439453125,2720.0,0.11,0.2560314291946256,0.1557491239615209,0.1116671653031287,-0.0079710832758504,-0.258620721681442,1608076800
